site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1043,2015,Q1,120,1,1,0,0,0,0,0
1043,2016,Q1,108,1,0,0,1,0,0,0
1043,2018,Q1,84,2,0,0,0,0,2,0
1043,2020,Q1,60,1,0,0,1,0,0,0
1043,2021,Q1,48,2,0,0,2,0,0,0
1043,2022,Q1,36,1,0,0,1,0,0,0
1043,2023,Q1,24,2,0,0,0,0,2,0
1043,2024,Q1,12,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1044,2017,Q1,96,2,0,0,1,0,1,0
1044,2018,Q1,84,4,2,0,1,0,1,0
1044,2019,Q1,72,3,2,0,1,0,0,0
1044,2021,Q1,48,1,1,0,0,0,0,0
1044,2022,Q1,36,2,0,0,0,0,2,0
1044,2024,Q1,12,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1046,2012,Q1,156,1,1,0,0,0,0,0
1046,2016,Q1,108,1,0,0,1,0,0,0
1046,2020,Q1,60,1,0,0,0,0,1,0
1046,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1047,2018,Q1,84,3,1,0,1,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1048,2014,Q1,132,1,0,0,0,0,1,0
1048,2015,Q1,120,2,1,0,0,0,1,0
1048,2016,Q1,108,1,0,0,0,0,1,0
1048,2017,Q1,96,1,0,0,0,0,1,0
1048,2018,Q1,84,2,0,0,1,0,1,0
1048,2019,Q1,72,1,0,0,1,0,0,0
1048,2020,Q1,60,2,0,0,1,0,1,0
1048,2023,Q1,24,2,0,0,1,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
104,2012,Q1,156,5,3,0,2,0,0,0
104,2013,Q1,144,5,1,0,3,0,1,0
104,2014,Q1,132,4,1,0,3,0,0,0
104,2015,Q1,120,9,2,0,5,0,2,0
104,2016,Q1,108,3,2,0,1,0,0,0
104,2017,Q1,96,2,0,0,0,0,2,0
104,2018,Q1,84,4,0,1,3,0,0,0
104,2019,Q1,72,7,2,0,4,0,1,0
104,2020,Q1,60,9,2,0,4,0,3,0
104,2021,Q1,48,2,0,0,0,0,2,0
104,2022,Q1,36,8,6,0,1,0,1,0
104,2023,Q1,24,2,2,0,0,0,0,0
104,2024,Q1,12,8,7,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1050,2013,Q1,144,2,0,0,1,0,1,0
1050,2015,Q1,120,3,0,1,1,0,1,0
1050,2016,Q1,108,2,1,0,1,0,0,0
1050,2017,Q1,96,2,0,0,1,0,1,0
1050,2018,Q1,84,1,0,0,1,0,0,0
1050,2019,Q1,72,1,0,0,0,0,1,0
1050,2021,Q1,48,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1053,2017,Q1,96,3,3,0,0,0,0,0
1053,2018,Q1,84,2,0,0,1,0,1,0
1053,2019,Q1,72,1,1,0,0,0,0,0
1053,2022,Q1,36,1,0,0,0,0,1,0
1053,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1058,2013,Q1,144,1,0,0,1,0,0,0
1058,2016,Q1,108,6,2,1,2,0,1,0
1058,2017,Q1,96,9,2,0,4,0,3,0
1058,2018,Q1,84,3,0,0,0,0,3,0
1058,2019,Q1,72,7,1,0,4,0,2,0
1058,2020,Q1,60,5,3,0,0,0,2,0
1058,2021,Q1,48,4,0,0,1,0,3,0
1058,2023,Q1,24,1,1,0,0,0,0,0
1058,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1059,2012,Q1,156,1,0,0,0,0,1,0
1059,2013,Q1,144,1,0,0,0,0,1,0
1059,2014,Q1,132,2,2,0,0,0,0,0
1059,2015,Q1,120,4,1,1,2,0,0,0
1059,2016,Q1,108,5,5,0,0,0,0,0
1059,2017,Q1,96,3,3,0,0,0,0,0
1059,2018,Q1,84,9,5,0,1,0,3,0
1059,2019,Q1,72,3,2,0,1,0,0,0
1059,2020,Q1,60,3,3,0,0,0,0,0
1059,2021,Q1,48,2,1,1,0,0,0,0
1059,2022,Q1,36,2,0,1,1,0,0,0
1059,2023,Q1,24,4,2,0,0,0,2,0
1059,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1060,2018,Q1,84,1,1,0,0,0,0,0
1060,2020,Q1,60,1,1,0,0,0,0,0
1060,2021,Q1,48,2,1,0,1,0,0,0
1060,2022,Q1,36,1,0,0,1,0,0,0
1060,2023,Q1,24,2,0,0,2,0,0,0
1060,2024,Q1,12,2,1,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1062,2019,Q1,72,8,5,0,1,0,2,0
1062,2020,Q1,60,1,0,0,1,0,0,0
1062,2021,Q1,48,2,1,0,0,0,1,0
1062,2022,Q1,36,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1065,2022,Q1,36,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1066,2021,Q1,48,7,5,1,1,0,0,0
1066,2022,Q1,36,2,2,0,0,0,0,0
1066,2023,Q1,24,3,3,0,0,0,0,0
1066,2024,Q1,12,5,3,0,2,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1068,2021,Q1,48,3,2,0,0,0,1,0
1068,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1069,2019,Q1,72,1,0,0,1,0,0,0
1069,2020,Q1,60,1,0,0,1,0,0,0
1069,2021,Q1,48,2,0,1,1,0,0,0
1069,2023,Q1,24,3,1,0,2,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1071,2020,Q1,60,2,1,0,1,0,0,0
1071,2023,Q1,24,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1072,2012,Q1,156,1,0,0,1,0,0,0
1072,2013,Q1,144,3,0,0,1,0,2,0
1072,2014,Q1,132,2,0,0,0,0,2,0
1072,2015,Q1,120,1,0,0,0,0,1,0
1072,2017,Q1,96,1,0,0,1,0,0,0
1072,2018,Q1,84,1,0,0,1,0,0,0
1072,2019,Q1,72,1,0,0,0,0,1,0
1072,2020,Q1,60,2,1,0,1,0,0,0
1072,2021,Q1,48,2,2,0,0,0,0,0
1072,2022,Q1,36,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1073,2020,Q1,60,1,0,0,1,0,0,0
1073,2021,Q1,48,1,0,0,1,0,0,0
1073,2023,Q1,24,1,0,0,1,0,0,0
1073,2024,Q1,12,2,0,0,2,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1074,2016,Q1,108,1,0,0,1,0,0,0
1074,2018,Q1,84,1,0,0,1,0,0,0
1074,2020,Q1,60,1,0,0,0,0,1,0
1074,2021,Q1,48,1,0,0,1,0,0,0
1074,2023,Q1,24,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1075,2021,Q1,48,2,1,0,1,0,0,0
1075,2023,Q1,24,2,0,0,0,0,2,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1076,2021,Q1,48,1,1,0,0,0,0,0
1076,2024,Q1,12,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1088,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
108,2015,Q1,120,1,1,0,0,0,0,0
108,2016,Q1,108,2,0,0,1,0,1,0
108,2017,Q1,96,3,2,1,0,0,0,0
108,2018,Q1,84,1,1,0,0,0,0,0
108,2019,Q1,72,1,1,0,0,0,0,0
108,2020,Q1,60,7,3,0,1,0,3,0
108,2021,Q1,48,1,0,1,0,0,0,0
108,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
109,2014,Q1,132,1,0,1,0,0,0,0
109,2016,Q1,108,1,0,0,0,0,1,0
109,2019,Q1,72,2,2,0,0,0,0,0
109,2020,Q1,60,1,0,0,0,0,1,0
109,2021,Q1,48,1,0,1,0,0,0,0
109,2023,Q1,24,1,0,0,0,0,1,0
109,2024,Q1,12,1,0,1,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
10,2010,Q1,180,1,1,0,0,0,0,0
10,2011,Q1,168,4,0,0,1,0,3,0
10,2012,Q1,156,10,1,1,3,0,5,0
10,2013,Q1,144,6,0,0,3,0,3,0
10,2014,Q1,132,10,1,0,4,1,4,0
10,2015,Q1,120,6,2,0,1,1,2,0
10,2016,Q1,108,13,5,0,4,1,3,0
10,2017,Q1,96,15,2,0,6,2,5,0
10,2018,Q1,84,15,7,1,2,0,5,0
10,2019,Q1,72,22,2,1,12,0,7,0
10,2020,Q1,60,14,2,0,3,0,9,0
10,2021,Q1,48,9,3,0,3,0,3,0
10,2022,Q1,36,17,5,0,7,0,5,0
10,2023,Q1,24,22,9,1,4,0,8,0
10,2024,Q1,12,16,10,0,3,0,3,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1100,2023,Q1,24,3,1,0,0,0,2,0
1100,2024,Q1,12,6,2,0,0,0,4,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1106,2023,Q1,24,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1109,2024,Q1,12,7,4,0,0,2,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
110,2018,Q1,84,2,0,0,1,0,1,0
110,2019,Q1,72,1,0,0,1,0,0,0
110,2022,Q1,36,1,1,0,0,0,0,0
