Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Liwonde Medical Clinic,80,1003,Other (paed./adult),,0.0,Q1 2025
Liwonde Medical Clinic,81,1003,Pregnant (as of the last visit before end of quarter),,2.0,Q1 2025
Liwonde Medical Clinic,82,1003,Breastfeeding (as of the last visit before end of quarter),,1.0,Q1 2025
Liwonde Medical Clinic,83,1003,All others (not circled) (as of the last visit before end of quarter),,114.0,Q1 2025
Liwonde Medical Clinic,84,1003,TB not suspected (as of the last visit before end of quarter),,113.0,Q1 2025
Liwonde Medical Clinic,85,1003,TB suspected (as of the last visit before end of quarter),,2.0,Q1 2025
Liwonde Medical Clinic,88,1003,TB - Unknown (not circled) (as of the last visit before end of quarter),,2.0,Q1 2025
Liwonde Medical Clinic,89,1003,Side effects - None (as of the last visit before end of quarter),,104.0,Q1 2025
Liwonde Medical Clinic,91,1003,Side effects - Unknown (not circled) (as of the last visit before end of quarter),,13.0,Q1 2025
Liwonde Medical Clinic,92,1003,Adherence:  0 - 3 doses missed (as of the last visit before end of quarter),,30.0,Q1 2025
Liwonde Medical Clinic,93,1003,Adherence:  4+ doses missed (as of the last visit before end of quarter),,75.0,Q1 2025
Liwonde Medical Clinic,94,1003,Adherence - Unknown (not circled) (as of the last visit before end of quarter),,12.0,Q1 2025
Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Ntholowa Health Centre,25,1004,total_registered,12.0,1683.0,Q1 2025
Ntholowa Health Centre,26,1004,FT_patients_initiated - Male,1.0,418.0,Q1 2025
Ntholowa Health Centre,27,1004,FT_patients_initiated - Female Non-pregnant,3.0,703.0,Q1 2025
Ntholowa Health Centre,28,1004,FT_patients_initiated - Female Pregnant,5.0,311.0,Q1 2025
Ntholowa Health Centre,31,1004,Re_patients_reinitiated_on_ART,1.0,16.0,Q1 2025
Ntholowa Health Centre,32,1004,TI_patients_transfered_in_on_ART,2.0,235.0,Q1 2025
Ntholowa Health Centre,33,1004,Male (all ages),1.0,485.0,Q1 2025
Ntholowa Health Centre,34,1004,Non-pregnant Females (all ages),7.0,846.0,Q1 2025
Ntholowa Health Centre,35,1004,Pregnant Females (all ages),4.0,352.0,Q1 2025
Ntholowa Health Centre,333435,1004,Without gender (all ages),0.0,0.0,Q1 2025
Ntholowa Health Centre,36,1004,Children below 24m at ART initiation,0.0,51.0,Q1 2025
Ntholowa Health Centre,37,1004,Children 24m - 14 yrs at ART initiation,0.0,91.0,Q1 2025
Ntholowa Health Centre,38,1004,Adults 15 years+ at ART initiation,12.0,1541.0,Q1 2025
Ntholowa Health Centre,39,1004,Pres.Sev.HIV disease age < 12m,0.0,0.0,Q1 2025
Ntholowa Health Centre,40,1004,PCR Infants < 12 mths PCR,0.0,2.0,Q1 2025
