site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
115,Chitekesa Health Centre,TX_CURR_MMD,Female,80-84 years,2025-08-26 01:24:06.578755+00:00,0,1,1
115,Chitekesa Health Centre,TX_CURR_MMD,FBF,All,2025-08-26 01:24:06.578755+00:00,29,55,5
115,Chitekesa Health Centre,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.578755+00:00,0,6,48
115,Chitekesa Health Centre,TX_CURR_MMD,Male,1-4 years,2025-08-26 01:24:06.578755+00:00,0,1,4
115,Chitekesa Health Centre,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.578755+00:00,0,24,99
115,Chitekesa Health Centre,TX_CURR_MMD,Female,90 plus years,2025-08-26 01:24:06.578755+00:00,0,0,1
115,Chitekesa Health Centre,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.578755+00:00,6,72,126
115,Chitekesa Health Centre,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.578755+00:00,14,101,201
115,Chitekesa Health Centre,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.578755+00:00,0,7,42
115,Chitekesa Health Centre,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.578755+00:00,1,31,3
115,Chitekesa Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.578755+00:00,1,43,104
115,Chitekesa Health Centre,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.578755+00:00,0,67,94
115,Chitekesa Health Centre,TX_CURR_MMD,Male,70-74 years,2025-08-26 01:24:06.578755+00:00,0,7,14
115,Chitekesa Health Centre,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.578755+00:00,34,570,1031
115,Chitekesa Health Centre,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.578755+00:00,1,26,72
115,Chitekesa Health Centre,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.578755+00:00,1,26,80
115,Chitekesa Health Centre,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.578755+00:00,1,8,4
115,Chitekesa Health Centre,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.578755+00:00,4,37,8
115,Chitekesa Health Centre,TX_CURR_MMD,Male,60-64 years,2025-08-26 01:24:06.578755+00:00,0,8,35
115,Chitekesa Health Centre,TX_CURR_MMD,Male,75-79 years,2025-08-26 01:24:06.578755+00:00,0,2,7
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
138,Dedza District Hospital,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.590824+00:00,92,1734,1292
138,Dedza District Hospital,TX_CURR_MMD,Male,75-79 years,2025-08-26 01:24:06.590824+00:00,0,8,8
138,Dedza District Hospital,TX_CURR_MMD,Female,70-74 years,2025-08-26 01:24:06.590824+00:00,2,10,18
138,Dedza District Hospital,TX_CURR_MMD,Female,75-79 years,2025-08-26 01:24:06.590824+00:00,0,6,7
138,Dedza District Hospital,TX_CURR_MMD,Female,60-64 years,2025-08-26 01:24:06.590824+00:00,1,36,68
138,Dedza District Hospital,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.590824+00:00,93,1175,821
138,Dedza District Hospital,TX_CURR_MMD,Unknown,40-44 years,2025-08-26 01:24:06.590824+00:00,1,0,0
138,Dedza District Hospital,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.590824+00:00,1,99,70
138,Dedza District Hospital,TX_CURR_MMD,Male,1-4 years,2025-08-26 01:24:06.590824+00:00,0,0,15
138,Dedza District Hospital,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.590824+00:00,4,48,0
138,Dedza District Hospital,TX_CURR_MMD,Male,60-64 years,2025-08-26 01:24:06.590824+00:00,2,57,63
