site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
433,Mlangeni Health Centre,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.334023+00:00,0,0,1
433,Mlangeni Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.334023+00:00,0,0,1
433,Mlangeni Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.334023+00:00,0,0,2
433,Mlangeni Health Centre,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.334023+00:00,0,0,1
433,Mlangeni Health Centre,TX_NEW,Female,5-9 years,2025-08-26 01:24:06.334023+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
468,Mtwalo Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.334212+00:00,0,0,3
468,Mtwalo Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.334212+00:00,0,0,2
468,Mtwalo Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.334212+00:00,0,0,4
468,Mtwalo Health Centre,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.334212+00:00,0,0,2
468,Mtwalo Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.334212+00:00,0,0,3
468,Mtwalo Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.334212+00:00,0,0,1
468,Mtwalo Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.334212+00:00,0,0,7
468,Mtwalo Health Centre,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.334212+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
495,Mzimba District Hospital,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.340929+00:00,1,3,1
495,Mzimba District Hospital,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.340929+00:00,2,0,0
495,Mzimba District Hospital,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.340929+00:00,2,1,4
495,Mzimba District Hospital,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.340929+00:00,1,2,1
495,Mzimba District Hospital,TX_NEW,FBF,All,2025-08-26 01:24:06.340929+00:00,1,3,3
495,Mzimba District Hospital,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.340929+00:00,3,2,2
495,Mzimba District Hospital,TX_NEW,Male,All,2025-08-26 01:24:06.340929+00:00,13,10,16
495,Mzimba District Hospital,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.340929+00:00,2,2,3
495,Mzimba District Hospital,TX_NEW,Male,55-59 years,2025-08-26 01:24:06.340929+00:00,1,0,0
495,Mzimba District Hospital,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.340929+00:00,3,5,10
495,Mzimba District Hospital,TX_NEW,FP,All,2025-08-26 01:24:06.340929+00:00,2,2,2
495,Mzimba District Hospital,TX_NEW,FNP,All,2025-08-26 01:24:06.340929+00:00,8,14,24
495,Mzimba District Hospital,TX_NEW,Female,45-49 years,2025-08-26 01:24:06.340929+00:00,0,2,3
495,Mzimba District Hospital,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.340929+00:00,2,1,0
495,Mzimba District Hospital,TX_NEW,Female,5-9 years,2025-08-26 01:24:06.340929+00:00,0,0,1
495,Mzimba District Hospital,TX_NEW,Male,1-4 years,2025-08-26 01:24:06.340929+00:00,0,0,2
495,Mzimba District Hospital,TX_NEW,Male,65-69 years,2025-08-26 01:24:06.340929+00:00,0,0,2
495,Mzimba District Hospital,TX_NEW,Female,55-59 years,2025-08-26 01:24:06.340929+00:00,0,1,0
495,Mzimba District Hospital,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.340929+00:00,0,1,0
495,Mzimba District Hospital,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.340929+00:00,1,3,3
495,Mzimba District Hospital,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.340929+00:00,2,3,1
